"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"java.lang.Thread.yield()",28639575,0,54640466,0
"kanzi.transform.ROLZCodec$ROLZCodec1.findMatch(kanzi.SliceByteArray, int)",27145724,0,45481647,0
"kanzi.transform.ROLZCodec.hash(byte[ ], int)",10025633,0,45481647,0
"kanzi.transform.ROLZCodec.getKey(byte[ ], int)",9814198,0,45481647,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",8545243,32867,762,1
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",6548054,0,66720231,0
"kanzi.transform.ROLZCodec$ROLZCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",5981133,0,763,0
"kanzi.transform.TextCodec.isText(byte)",5904795,15240674,98151,100005616
"java.lang.Math.min(int, int)",4308636,0,45494805,0
"kanzi.Memory$LittleEndian.readInt16(byte[ ], int)",4295417,0,45481647,0
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",4067798,13464763,762,1
"java.util.concurrent.atomic.AtomicInteger.get()",3541615,0,54642183,0
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",3004392,2831974,2782,1028
"kanzi.transform.TextCodec.isLowerCase(byte)",2625162,7055582,98151,100005616
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",2448404,2462807,17147020,33678300
"kanzi.transform.ROLZCodec$ROLZCodec1.<init>(int, java.util.Map)",824931,0,763,0
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",748729,878841,4307,1029
"kanzi.transform.TextCodec$TextCodec2.reset(int)",705751,30492,762,1
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",660941,844488,2202421,5283283
"java.lang.Integer.numberOfTrailingZeros(int)",528913,0,5809512,0
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",516645,39947,4945920,524288
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",291365,368975,2202421,5283283
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",269611,397993,2143631,5266221
"kanzi.transform.TextCodec.isDelimiter(byte)",219678,1082185,-226,13861126
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",194851,147014,762,1
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",187476,462712,125388,4625539
"java.lang.System.arraycopy(java.lang.Object, int, java.lang.Object, int, int)",153564,15822,810750,1818
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",123556,38273,3545,1028
"kanzi.entropy.ANSRangeEncoder.encode(byte[ ], int, int)",98448,1390,3051,1
"kanzi.transform.ROLZCodec$ROLZCodec1.emitLength(kanzi.SliceByteArray, int)",84213,0,693619,0
"kanzi.entropy.ANSRangeEncoder$Symbol.<init>()",70965,0,781312,0
"kanzi.Global.log2_1024(int)",32688,0,132470,0
"java.io.PrintStream.println(java.lang.String)",28293,0,787,0
"java.util.concurrent.ThreadPoolExecutor$Worker.run()",21776,0,4,0
"kanzi.Global.computeFirstOrderEntropy1024(int, int[ ])",21256,0,763,0
"kanzi.Event.<init>(kanzi.Event$Type, int, long, int, boolean, long)",18269,0,3054,0
"java.lang.Integer.numberOfLeadingZeros(int)",12067,0,42956,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",12012,0,191,0
"kanzi.app.InfoPrinter.processEvent(kanzi.Event)",9263,0,3054,0
"java.io.ByteArrayOutputStream.toByteArray()",9261,0,763,0
"java.util.Map.getOrDefault(java.lang.Object, java.lang.Object)",7253,0,6106,0
"kanzi.entropy.ANSRangeEncoder.<init>(kanzi.OutputBitStream, int, int, int)",5441,0,1526,0
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",5131,0,763,0
"java.util.Map.put(java.lang.Object, java.lang.Object)",4705,0,4602,0
"kanzi.transform.ROLZCodec.<init>(java.util.Map)",3971,0,763,0
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",3876,0,1527,0
"java.lang.Integer.valueOf(int)",3874,0,8402,0
"kanzi.transform.Sequence.getMaxEncodedLength(int)",3803,0,1526,0
"kanzi.transform.TextCodec.getMaxEncodedLength(int)",3720,0,1526,0
"kanzi.SliceByteArray.<init>(byte[ ], int, int)",3290,0,765,0
"java.util.HashMap.<init>(java.util.Map)",2830,0,763,0
"java.util.Map.remove(java.lang.Object)",2419,0,773,0
"kanzi.Event.<init>(kanzi.Event$Type, int, long, int, boolean)",2047,0,3054,0
"java.lang.String.contains(java.lang.CharSequence)",1913,0,763,0
"kanzi.io.CompressedOutputStream.notifyListeners(kanzi.Listener[ ], kanzi.Event)",1898,0,3052,0
"kanzi.transform.TransformFactory.<init>()",1878,0,765,0
