"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"kanzi.transform.DivSufSort.ssSort(int, int, int, int, int, int, int, boolean)",5033293,10,498954
"kanzi.transform.DivSufSort.trSort(int, int)",3908605,68572,57
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",3284668,57625,57
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",2485243,43600,57
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",2086292,36601,57
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",656478,11517,57
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",450786,162,2773
"kanzi.transform.DivSufSort.ssSwapMerge(int, int, int, int, int, int, int)",403481,55,7273
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",275035,4825,57
"kanzi.transform.DivSufSort.ssIlg(int)",243327,0,2575456
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",214899,0,2038530
"kanzi.transform.DivSufSort.trMedian5(int[ ], int, int, int, int, int, int)",199819,0,1484505
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",180013,0,1420681
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",168179,0,1171510
"kanzi.transform.DivSufSort.trHeapSort(int, int, int)",109223,3,32128
"kanzi.transform.DivSufSort.trFixDown(int, int, int, int)",108557,0,1042509
"kanzi.entropy.EntropyUtils$FreqSortData.compareTo(java.lang.Object)",108109,0,679470
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",105173,37,2830
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",105090,1843,57
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",82075,29,2773
"java.util.Collections.sort(java.util.List)",81342,112,720
"kanzi.entropy.EntropyUtils$FreqSortData.compareTo(kanzi.entropy.EntropyUtils$FreqSortData)",54567,0,679470
"kanzi.entropy.EntropyUtils.normalizeFrequencies(int[ ], int[ ], int, int)",53225,19,2773
"kanzi.entropy.ANSRangeEncoder.updateFrequencies(int[ ][ ], int)",45110,16,2773
"kanzi.entropy.ANSRangeEncoder.encodeHeader(int, int[ ], int[ ], int)",41434,14,2773
"kanzi.transform.DivSufSort.ssBlockSwap(int, int, int)",39192,5,7273
"kanzi.bitstream.DefaultOutputBitStream.writeBits(long, int)",37947,0,480963
"kanzi.entropy.ANSRangeEncoder$Symbol.reset(int, int, int)",37178,0,460972
"java.io.InputStream.read(byte[ ], int, int)",32803,10,3251
"java.lang.System.arraycopy(java.lang.Object, int, java.lang.Object, int, int)",28726,7,3961
"java.io.ByteArrayOutputStream.<init>(int)",23273,408,57
"kanzi.transform.DivSufSort.trCopy(int, int, int, int, int, int)",19428,16,1179
"java.util.ArrayList.add(java.lang.Object)",16165,0,166217
"kanzi.entropy.EntropyUtils$FreqSortData.<init>(int[ ], int)",14472,0,166217
"java.lang.String.format(java.lang.String, java.lang.Object[ ])",14354,1104,13
"kanzi.app.BlockCompressor.call()",12839,12839,1
"java.io.OutputStream.write(byte[ ], int, int)",10269,2,3520
"java.util.concurrent.Executors.newFixedThreadPool(int)",8150,8150,1
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",6849,570,12
"kanzi.app.Kanzi.main(java.lang.String[ ])",6193,6193,1
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",5995,105,57
"kanzi.app.BlockCompressor$FileCompressTask.call()",5755,479,12
"kanzi.transform.DivSufSort.ssHeapSort(int, int, int, int)",5245,3,1434
