non-profiling,sample-based,instrument-based
2341.0,2498.0,22152.0
2215.0,2410.0,22236.0
2357.0,2455.0,21996.0
2386.0,2487.0,22169.0
2354.0,2301.0,22589.0
2411.0,2442.0,21864.0
2366.0,2353.0,22443.0
2224.0,2354.0,21981.0
2220.0,2345.0,22191.0
2209.0,2491.0,22366.0
2287.0,2309.0,22285.0
2243.0,2404.0,22362.0
2319.0,2461.0,22276.0
2272.0,2343.0,22029.0
2404.0,2379.0,21868.0
2371.0,2520.0,21692.0
2250.0,2424.0,22669.0
2324.0,2454.0,22397.0
2342.0,2517.0,22206.0
2220.0,2350.0,22199.0
2368.0,2349.0,22081.0
2402.0,2532.0,21973.0
2273.0,2491.0,22110.0
2367.0,2424.0,22263.0
2300.0,2443.0,21984.0
2248.0,2406.0,22052.0
2312.0,2364.0,22368.0
2230.0,2388.0,22014.0
2255.0,2449.0,21899.0
2232.0,2480.0,22566.0
2324.0,2475.0,22849.0
2351.0,2371.0,22023.0
2216.0,2432.0,21901.0
2405.0,2487.0,22443.0
2297.0,2401.0,22063.0
2337.0,2379.0,22205.0
2261.0,2398.0,22283.0
2411.0,2335.0,22557.0
2243.0,2453.0,21948.0
2268.0,2445.0,22175.0
2204.0,2427.0,22114.0
2318.0,2413.0,21841.0
2363.0,2366.0,22188.0
2350.0,2389.0,22815.0
2378.0,2413.0,22579.0
2302.0,2511.0,22335.0
2326.0,2455.0,22236.0
2235.0,2362.0,22130.0
2338.0,2315.0,21915.0
2378.0,2476.0,22086.0
