non-profiling,sample-based,instrument-based
3754.0,4002.0,263721.0
3772.0,3929.0,264877.0
3627.0,4003.0,264105.0
3610.0,3919.0,257499.0
3652.0,3963.0,253923.0
3683.0,3951.0,258309.0
3879.0,3940.0,257689.0
3619.0,4013.0,252079.0
3823.0,3910.0,255441.0
3722.0,3981.0,266208.0
3706.0,3959.0,258278.0
3582.0,3958.0,255569.0
3677.0,3991.0,253244.0
3812.0,3923.0,252479.0
3895.0,3935.0,257128.0
3812.0,3950.0,251697.0
3714.0,3937.0,253719.0
3654.0,3922.0,256632.0
3803.0,3997.0,252205.0
3700.0,3926.0,253702.0
3883.0,3944.0,258427.0
3774.0,3866.0,252370.0
3572.0,3929.0,256715.0
3681.0,3934.0,250408.0
3802.0,3987.0,256569.0
3892.0,3929.0,254940.0
3741.0,3931.0,254809.0
3803.0,3957.0,248140.0
3804.0,4021.0,260066.0
3822.0,3997.0,250447.0
3773.0,3987.0,256291.0
3663.0,3917.0,258153.0
3686.0,3976.0,254314.0
3760.0,3930.0,251712.0
3699.0,3939.0,254693.0
3807.0,3957.0,257128.0
3754.0,3929.0,254188.0
3749.0,3995.0,251672.0
3590.0,3944.0,253802.0
3775.0,3998.0,253646.0
3837.0,3940.0,250339.0
3664.0,3906.0,259128.0
3685.0,3891.0,251809.0
3804.0,3916.0,257962.0
3684.0,3851.0,253321.0
3828.0,3901.0,260660.0
3833.0,3930.0,253105.0
3739.0,3936.0,255306.0
3855.0,3861.0,260194.0
3687.0,3944.0,251913.0
