"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"java.lang.Thread.yield()",22990798,0,42410413,0
"kanzi.transform.LZCodec$LZXCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",16893448,0,48,0
"kanzi.transform.LZCodec$LZXCodec.hash(byte[ ], int)",12745345,0,62083883,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",6945926,32867,47,1
"kanzi.transform.TextCodec.isText(byte)",5836050,15240674,6053,100005616
"kanzi.Memory$LittleEndian.readLong64(byte[ ], int)",5782287,0,62083883,0
"kanzi.transform.LZCodec.differentInts(byte[ ], int, int)",4702190,0,43193990,0
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",4691487,13464763,47,1
"java.util.concurrent.atomic.AtomicInteger.get()",3296577,0,42410521,0
"java.lang.Math.max(int, int)",3253579,0,30684372,0
"kanzi.transform.TextCodec.isLowerCase(byte)",2581419,7055582,6053,100005616
"kanzi.transform.LZCodec$LZXCodec.findMatch(byte[ ], int, int, int)",2573154,0,8374143,0
"kanzi.bitstream.DefaultOutputBitStream.writeBits(long, int)",1491079,17816,10439276,211095
"java.lang.Math.min(int, int)",1272554,0,12420102,0
"kanzi.entropy.HuffmanEncoder.encode(byte[ ], int, int)",1268073,0,48,0
"kanzi.transform.LZCodec$LZXCodec.emitLiterals(byte[ ], int, byte[ ], int, int)",879638,0,3116391,0
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",677570,844488,2695052,5283283
"kanzi.transform.LZCodec$LZXCodec.arrayChunkCopy(byte[ ], int, byte[ ], int)",481384,0,5050565,0
"kanzi.transform.TextCodec.isDelimiter(byte)",382189,1082185,-20,13861126
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",349716,368975,2695052,5283283
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",264356,147014,47,1
"kanzi.transform.LZCodec$LZXCodec.emitLength(byte[ ], int, int)",154774,0,1513379,0
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",153244,462712,42355,4625539
"kanzi.entropy.ExpGolombEncoder.encodeByte(byte)",131777,0,630926,0
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",119637,1039165,-1190571,12697965
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",115984,39947,1000448,524288
"kanzi.transform.TextCodec$TextCodec2.reset(int)",100690,30492,47,1
"kanzi.entropy.HuffmanEncoder.updateFrequencies(int[ ])",86589,0,2528,0
"kanzi.transform.TextCodec$TextCodec2.expandDictionary()",73846,29214,48,1
"kanzi.bitstream.DefaultOutputBitStream.writeBit(int)",27275,0,287634,0
"java.util.Arrays.sort(int[ ], int, int)",23790,0,2528,0
"kanzi.entropy.HuffmanCommon.generateCanonicalCodes(short[ ], int[ ], int[ ], int)",21256,0,2528,0
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",20157,38273,1500,1028
"kanzi.entropy.HuffmanEncoder.computeInPlaceSizesPhase1(int[ ], int)",9950,0,2528,0
"kanzi.entropy.HuffmanEncoder.computeCodeLengths(int[ ], int)",7011,0,2528,0
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",3924,0,12,0
"kanzi.entropy.HuffmanEncoder.computeInPlaceSizesPhase2(int[ ], int)",3261,0,2528,0
