"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",3774687,0,3,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",1523134,0,25000000,0
"kanzi.util.hash.XXHash32.round(int, int)",1491105,0,25000000,0
"java.lang.Thread.yield()",1100275,0,2112841,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",356147,32867,2,1
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",266785,84152,2,1
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",231998,2221062,111119,1170187
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",148602,956931,2,1
"java.util.concurrent.atomic.AtomicInteger.get()",142840,0,2112848,0
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",134576,2462807,1615444,33678300
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",123521,38273,54,1028
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",102611,2831974,51,1028
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",67067,683166,2,1
"kanzi.transform.TextCodec$TextCodec2.reset(int)",61151,30492,2,1
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",47388,147014,2,1
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",37373,39947,260096,524288
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",35599,246319,2,1
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",16652,368975,331440,5283283
"kanzi.transform.DivSufSort.trSort(int, int)",15495,232047,2,1
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",13747,1683686,2,1
"kanzi.transform.DivSufSort.ssIlg(int)",4677,89948,76925,879443
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",1709,0,1,0
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",1588,63508,17447,447834
"java.io.PrintStream.println(java.lang.String)",1122,0,27,0
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-1668,397993,330435,5266221
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",-1970,197945,44910,895009
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-4822,98096,-10140,437100
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-5299,73526,17080,543208
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",-5741,600885,-57060,2977117
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",-6798,878841,53,1029
"kanzi.transform.DivSufSort$TRBudget.check(int)",-12131,109845,-96124,1121148
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-13753,44027,-66741,335626
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",-17857,844488,331440,5283283
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",-19430,243889,-67764,2539457
"kanzi.transform.DivSufSort$Stack.pop()",-21493,404963,105745,3947293
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",-27155,43035,0,1
"kanzi.transform.DivSufSort.trIlg(int)",-27183,287614,-45933,2923260
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",-29404,111359,-112301,535018
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-32152,74951,2,1
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",-57394,462712,-23256,4625539
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-58734,13464763,2,1
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",-75634,7787177,33390,23318
"kanzi.transform.TextCodec.isDelimiter(byte)",-80363,1082185,-1,13861126
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",-110984,1403889,140889,1382349
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",-163452,1039165,-160877,12697965
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",-220625,1350314,-160877,12697965
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",-332284,1290470,-112259,535262
"kanzi.transform.TextCodec.isLowerCase(byte)",-337352,7055582,258,100005616
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",-434460,934500,-770,2169
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",-453334,3320133,-1471837,30272617
"kanzi.transform.DivSufSort.swapInSA(int, int)",-632258,4841531,-6072448,62866167
"kanzi.transform.TextCodec.isText(byte)",-767356,15240674,258,100005616
