option_name,directlyNewArrSink,ifNewArrSink,loopNewArrSink,directlyIoSink,ifIoSink,loopIoSink,directlyLockSink,ifLockSink,loopLockSink,directlyThreadSink,ifThreadSink,loopThreadSink,entermonitor,java.io.BufferedInputStream,java.io.BufferedReader,java.io.ByteArrayInputStream,java.io.ByteArrayOutputStream,java.io.DataInputStream,java.io.DataOutput,java.io.DataOutputStream,java.io.File,java.io.FileInputStream,java.io.FileOutputStream,java.io.IOError,java.io.InputStream,java.io.InputStreamReader,java.io.ObjectInputStream,java.io.ObjectOutputStream,java.io.OutputStream,java.io.PrintStream,java.io.PrintWriter,java.io.PushbackInputStream,java.io.Reader,java.lang.Thread,java.lang.Thread$UncaughtExceptionHandler,java.lang.ThreadLocal,java.nio.ByteBuffer,java.nio.channels.FileChannel,java.nio.charset.Charset,java.nio.file.FileSystem,java.nio.file.Files,java.nio.file.Path,java.nio.file.Paths,java.util.concurrent.ArrayBlockingQueue,java.util.concurrent.Callable,java.util.concurrent.ConcurrentHashMap,java.util.concurrent.ConcurrentLinkedQueue,java.util.concurrent.ConcurrentMap,java.util.concurrent.CountDownLatch,java.util.concurrent.ExecutorService,java.util.concurrent.Executors,java.util.concurrent.Future,java.util.concurrent.ScheduledExecutorService,java.util.concurrent.ScheduledThreadPoolExecutor,java.util.concurrent.ThreadPoolExecutor,java.util.concurrent.TimeUnit,java.util.concurrent.atomic.AtomicBoolean,java.util.concurrent.atomic.AtomicInteger,java.util.concurrent.atomic.AtomicIntegerFieldUpdater,java.util.concurrent.atomic.AtomicLong,java.util.concurrent.atomic.AtomicLongFieldUpdater,java.util.concurrent.atomic.AtomicReference,java.util.concurrent.atomic.AtomicReferenceArray,java.util.concurrent.atomic.AtomicReferenceFieldUpdater,java.util.concurrent.locks.Lock,java.util.concurrent.locks.LockSupport,java.util.concurrent.locks.ReadWriteLock,java.util.concurrent.locks.ReentrantLock,newarray,newmultiarray,org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor,org.apache.cassandra.utils.NoSpamLogger$NoSpamLogStatement,perf_affected
table_count_warn_threshold,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1
counter_cache_keys_to_save,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
internode_application_send_queue_reserve_global_capacity_in_bytes,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
internode_tcp_connect_timeout_in_ms,0,0,0,0,0,0,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,-1
commitlog_segment_size_in_mb,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
concurrent_reads,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
memtable_cleanup_threshold,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
max_hints_delivery_threads,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hinted_handoff_enabled,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
range_request_timeout_in_ms,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
cas_contention_timeout_in_ms,2,10,0,2,1,0,1,0,10,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,2,0,0,0,0,12,0,0,0,1
slow_query_log_timeout_in_ms,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
max_value_size_in_mb,1,0,0,5,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
truncate_request_timeout_in_ms,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
