"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",4017075,0,1,0
"kanzi.util.hash.XXHash32.round(int, int)",1779469,0,25000000,0
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",1682355,0,25000000,0
"kanzi.transform.TextCodec$TextCodec2.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",362562,13464763,0,1
"java.util.Collections.sort(java.util.List)",306570,23125,8,277
"kanzi.transform.TextCodec.isDelimiter(byte)",70344,1082185,0,13861126
"kanzi.Global.computeHistogramOrder0(byte[ ], int, int, int[ ], boolean)",54229,38273,0,1028
"kanzi.transform.TextCodec.isLowerCase(byte)",28760,7055582,0,100005616
"kanzi.Memory$BigEndian.writeLong64(byte[ ], int, long)",10449,368975,-39313,5283283
"kanzi.io.CompressedOutputStream.<init>(kanzi.OutputBitStream, java.util.Map)",6487,43035,0,1
"kanzi.transform.DivSufSort.constructBWT(int[ ], int[ ], int, int, int[ ], int)",3864,1683686,0,1
"kanzi.transform.DivSufSort.trInsertionSort(int, int, int)",3378,600885,-11983,2977117
"kanzi.transform.DivSufSort.ssIlg(int)",2140,89948,-894,879443
"kanzi.transform.DivSufSort$Stack.push(int, int, int, int, int)",1640,243889,-4935,2539457
"kanzi.app.Kanzi.processCommandLine(java.lang.String[ ], java.util.Map)",1298,0,1,0
"java.io.PrintStream.println(java.lang.String)",1265,0,28,0
"kanzi.transform.DivSufSort.ssMedian5(int, int, int, int, int, int, int)",690,63508,-688,447834
"kanzi.transform.DivSufSort.ssPivot(int, int, int, int)",462,197945,-753,895009
"kanzi.transform.TextCodec$DictEntry.<init>(byte[ ], int, int, int, int)",-1029,39947,0,524288
"kanzi.transform.DivSufSort.trPartition(int, int, int, int, int)",-1046,1290470,-625,535262
"kanzi.entropy.ANSRangeEncoder.encodeChunk(byte[ ], int, int)",-1055,2831974,-1,1028
"kanzi.transform.DivSufSort.computeBWT(byte[ ], byte[ ], int[ ], int, int, int, int[ ], int)",-1149,84152,0,1
"kanzi.transform.DivSufSort.ssPartition(int, int, int, int)",-1492,98096,-672,437100
"kanzi.transform.TextCodec.computeStats(byte[ ], int, int, int[ ], boolean)",-1715,147014,0,1
"kanzi.transform.DivSufSort.trIlg(int)",-1855,287614,-11643,2923260
"kanzi.transform.DivSufSort.trMedian3(int[ ], int, int, int, int)",-1902,44027,-98,335626
"kanzi.transform.DivSufSort$TRBudget.check(int)",-2761,109845,-8588,1121148
"kanzi.transform.BWT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-3151,74951,0,1
"kanzi.transform.DivSufSort.ssMedian3(int, int, int, int, int)",-4230,73526,-326,543208
"kanzi.transform.DivSufSort.trPivot(int[ ], int, int, int)",-4557,111359,-635,535018
"kanzi.bitstream.DefaultOutputBitStream.writeBits(byte[ ], int, int)",-5436,878841,-1,1029
"kanzi.transform.TextCodec$TextCodec2.emitWordIndex(byte[ ], int, int, int)",-6304,1039165,14335,12697965
"kanzi.transform.TextCodec$TextCodec2.emitSymbols(byte[ ], int, byte[ ], int, int, int)",-7120,462712,2845,4625539
"kanzi.bitstream.DefaultOutputBitStream.pushCurrent()",-7334,844488,-39313,5283283
"kanzi.Memory$BigEndian.readLong64(byte[ ], int)",-7840,397993,-39330,5266221
"kanzi.transform.DivSufSort.trSort(int, int)",-8418,232047,0,1
"kanzi.transform.SBRT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-8618,956931,0,1
"kanzi.transform.DivSufSort.sortTypeBstar(int[ ], int[ ], int)",-8949,683166,0,1
"kanzi.transform.DivSufSort$Stack.pop()",-8959,404963,-7693,3947293
"kanzi.transform.ZRLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",-11651,246319,0,1
"kanzi.transform.DivSufSort.ssInsertionSort(int, int, int, int)",-13011,2221062,-1267,1170187
"kanzi.transform.DivSufSort.ssMergeBackward(int, int, int, int, int, int)",-15129,934500,2,2169
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",-26186,1350314,14335,12697965
"kanzi.transform.DivSufSort.trIntroSort(int, int, int, int, kanzi.transform.DivSufSort$TRBudget)",-29324,1403889,-2758,1382349
"kanzi.transform.DivSufSort.swapInSA(int, int)",-40350,4841531,-137880,62866167
"kanzi.entropy.ANSRangeEncoder.encodeSymbol(int[ ], int, kanzi.entropy.ANSRangeEncoder$Symbol)",-47288,2462807,-40744,33678300
"kanzi.transform.TextCodec.isText(byte)",-108033,15240674,0,100005616
"kanzi.transform.DivSufSort.ssMultiKeyIntroSort(int, int, int, int)",-148130,7787177,-2,23318
"kanzi.transform.DivSufSort.ssCompare(int, int, int)",-194965,3320133,-21081,30272617
